new_id;id:ID;names;size;labels;rho
1;ATF6;ATF6;1636;gene:protein;0.6766465465909092
2;Calcium;Calcium;8533;drug;0.2054015438301512
3;CA2;CA2;10323;gene:protein;0.5802062734971432
4;endoplasmic_reticulum;endoplasmic reticulum;11775;cellular component;0.1037785927550997
5;homeostatic_process;homeostatic process;2068;biological process;0.504464858111285
6;ERN1;ERN1;5932;gene:protein;0.4726343646218491
7;maintenance_of_location;maintenance of location;1949;biological process;0.5020580535082306
8;XK;XK;21;gene:protein;0.5157557427272728
9;adult;adult;3514;enzyme source;0.1125694433374979
10;XBP1;XBP1;4538;gene:protein;0.6381623825319694
11;intracellular_anatomical_structure;intracellular anatomical structure;9852;cellular component;0.5043357562051655
12;CALR;CALR;2356;gene:protein;0.64312378495082
13;export_across_plasma_membrane;export across plasma membrane;1131;biological process;0.5022259127390181
14;calcium-mediated_signaling;calcium-mediated signaling;24;biological process;0.505100479
15;Carbenicillin;Carbenicillin;7;drug;0.647084945
16;IL17F;IL17F;2783;gene:protein;0.5904116495805741
17;EIF2AK3;EIF2AK3;2403;gene:protein;0.6615539156637169
18;spanning_component_of_plasma_membrane;spanning component of plasma membrane;2601;cellular component;0.5
19;Choline;Choline;198;drug;0.5096752532432431
20;CSNK2B;CSNK2B;4;gene:protein;0.6837238666666666
21;juvenile;juvenile;732;enzyme source;0.4538403736734691
22;mitochondrial_matrix;mitochondrial matrix;42;cellular component;0.5
23;biological_regulation;biological regulation;10817;biological process;0.50494932566058
24;bortezomib;bortezomib;19927;drug;0.5
25;dexamethasone;dexamethasone;10630;drug;0.5
26;vindesine;vindesine;151;drug;0.5
27;vincristine;vincristine;2450;drug;0.5
28;TDGF1;TDGF1;6407;gene:protein;0.557428383620862
29;doxorubicin;doxorubicin;5933;drug;0.5001671855009824
30;hand;hand;6941;enzyme source;0.5
31;MID1;MID1;12329;gene:protein;0.5962296414081525
32;epirubicin;epirubicin;309;drug;0.5
33;myeloid_neoplasm;myeloid neoplasm;23638;disease;0.5325225483655378
34;multiple_myeloma;multiple myeloma;14501;disease;0.2050978511782293
35;cyclophosphamide;cyclophosphamide;6276;drug;0.5
36;import_across_plasma_membrane;import across plasma membrane;9857;biological process;0.501642278839331
37;PARTICL;PARTICL;1596;gene;0.5
38;bronchiolitis;bronchiolitis;24;disease;0.5
39;sensory_peripheral_neuropathy;sensory peripheral neuropathy;50;disease;0.505079368
40;peristromal_region_viral_factory;peristromal region viral factory;2796;cellular component;0.5
41;thalidomide;thalidomide;5155;drug;0.5001660585756385
42;lenalidomide;lenalidomide;9019;drug;0.5
43;cell_population_proliferation;cell population proliferation;10490;biological process;0.5005551251680767
44;GSK3B;GSK3B;62;gene:protein;0.6369402534615384
45;SNHG16;SNHG16;270;gene;0.5110294176470588
46;LINC00689;LINC00689;38;gene;0.5
47;execution_phase_of_apoptosis;execution phase of apoptosis;42431;biological process;0.5
48;PLK4;PLK4;670;gene:protein;0.6226703021052632
49;SNHG15;SNHG15;98;gene;0.5
50;GC;GC;5924;gene:protein;0.5564757588450703
51;MIR338;MIR338;22;gene;0.5
52;renal_cell_carcinoma;renal cell carcinoma;1848;disease;0.2918387834178673
53;lung;lung;19595;enzyme source;0.3339638988490889
54;CTNNB1;CTNNB1;914;gene:protein;0.5375499246666667
55;SNHG1;SNHG1;83;gene;0.5109267035
56;colorectal_cancer_cell;colorectal cancer cell;520;enzyme source;0.5007233799999999
57;intron;intron;902;other;0.5
58;epithelial_to_mesenchymal_transition;epithelial to mesenchymal transition;10865;biological process;0.510997322096525
59;RAB14;RAB14;29;gene:protein;0.5987871825
60;stem;stem;13761;enzyme source;0.2767422584799074
61;cisplatin;cisplatin;6038;drug;0.5013634918538813
62;FAM126A;FAM126A;4128;gene:protein;0.1427612274044776
63;neuroblastoma_cell;neuroblastoma cell;160;enzyme source;0.2613636363636363
64;NBL1;NBL1;1157;gene:protein;0.2255841457894736
65;NEAT1;NEAT1;1765;gene;0.5122369602830189
66;CREBRF;CREBRF;1;gene:protein;0.58866304
67;OIP5-AS1;OIP5-AS1;377;gene;0.502083335
68;esophageal_squamous_cell_carcinoma_cell;esophageal squamous cell carcinoma cell;249;enzyme source;0.500609756097561
69;NRP1;NRP1;489;gene:protein;0.629300516122449
70;PTEN;PTEN;7538;gene:protein;0.6125824307381771
71;AKT1;AKT1;12183;gene:protein;0.6213634517256651
72;CDH1;CDH1;1792;gene:protein;0.623444359728601
73;KIFC1;KIFC1;74;gene:protein;0.5667640860000001
74;NDUFB6;NDUFB6;22803;gene:protein;0.5881294396636594
75;RTEL1;RTEL1;2627;gene:protein;0.5628422784602367
76;secondary_progressive_multiple_sclerosis;secondary progressive multiple sclerosis;136;disease;0.514563854
77;B-cell_lymphoma;B-cell lymphoma;4008;disease;0.5334940080999987
78;Hodgkin_s_lymphoma;Hodgkin s lymphoma;1740;disease;0.3445522426285711
79;ear;ear;426;enzyme source;0.5
80;orbit;orbit;100;enzyme source;0.5
81;conjunctiva;conjunctiva;66;enzyme source;0.5
82;plasma_cell;plasma cell;2228;enzyme source;0.5003189359840727
83;mantle_cell_lymphoma;mantle cell lymphoma;435;disease;0.5
84;CLEC4D;CLEC4D;2063;gene:protein;0.5298322073901806
85;skin;skin;6741;enzyme source;0.5
86;CLL/SLL;CLL/SLL;123;disease;0.5148184740816327
87;eye;eye;1101;enzyme source;0.2001592356687909
88;follicular_lymphoma;follicular lymphoma;607;disease;0.5
89;Levothyroxine;Levothyroxine;2009;drug;0.5207524093467337
90;ST6GAL1;ST6GAL1;182;gene:protein;0.5682896827272728
91;epidermal_growth_factor-activated_receptor_activity;epidermal growth factor-activated receptor activity;17184;molecular function;0.6288209268902143
92;Gefitinib;Gefitinib;119;drug;0.5
93;extracellular_region;extracellular region;7642;cellular component;0.496495886349432
94;CD274;CD274;22195;gene:protein;0.6354894780794702
95;gefitinib;gefitinib;1019;drug;0.5
96;thyroid_gland;thyroid gland;3111;enzyme source;0.1576262152255623
97;cetuximab;cetuximab;663;drug;0.5
98;5-Fluorouracil;5-Fluorouracil;51;other;0.5334534943749999
99;PTK2;PTK2;2541;gene:protein;0.614995630327273
100;1-phosphatidylinositol-3-kinase_activity;1-phosphatidylinositol-3-kinase activity;12944;molecular function;0.5
101;cell_surface;cell surface;3478;cellular component;0.5000753346310738
102;MAP_kinase_activity;MAP kinase activity;12739;molecular function;0.5099076973774329
103;T3;T3;1196;other;0.5050752409210526
104;CCND1;CCND1;3656;gene:protein;0.6509971550592435
105;Ras;Ras;2231;other;0.5
106;PCNA;PCNA;1821;gene:protein;0.6405858077168946
107;IgG_immunoglobulin_complex;IgG immunoglobulin complex;7335;cellular component;0.5286608952089407
108;5-FU;5-FU;2271;other;0.5235109435048233
109;irinotecan;irinotecan;329;drug;0.5
110;Leucovorin;Leucovorin;235;drug;0.5173039146753248
111;Resveratrol;Resveratrol;2629;drug;0.5175163776241134
112;plasma_membrane;plasma membrane;842;cellular component;0.5005878760111317
113;catenin_complex;catenin complex;25;cellular component;0.5
114;MYC;MYC;14045;gene:protein;0.6232039083645656
115;Guanine;Guanine;316;drug;0.2680266239428564
116;transcription__DNA-templated;transcription DNA-templated;15922;biological process;0.2038281786830026
117;TP53;TP53;40764;gene:protein;0.4870590614541329
118;blood_plasma;blood plasma;19442;enzyme source;0.5
119;INS;INS;2657;gene:protein;0.1663446142915952
120;immunoglobulin_complex__circulating;immunoglobulin complex circulating;51658;cellular component;0.5000192159402984
121;Insulin_pork;Insulin pork;7;drug;0.524381
122;hypoglycemia;hypoglycemia;212;disease;0.5
123;human insulin;human insulin;45;other;0.5
124;blood;blood;22525;enzyme source;0.1410554264852306
125;Zinc;Zinc;2581;drug;0.4891890477112134
126;ng;ng;36425;other;0.5000112754825906
127;PCYT1A;PCYT1A;7558;gene:protein;0.152375537019608
128;pancreas;pancreas;623;enzyme source;0.5
129;serum;serum;41726;enzyme source;0.3333333400000512
130;IFNA1;IFNA1;24194;gene:protein;0.5967847084620725
131;chronic_leukemia;chronic leukemia;10545;disease;0.3345304392715297
132;CD4;CD4;22743;gene:protein;0.4712583040494958
133;T-lymphocyte;T-lymphocyte;27586;enzyme source;0.3818231107923583
134;NELFCD;NELFCD;3041;gene:protein;0.5328171874910396
135;PDCD1;PDCD1;8801;gene:protein;0.6413840052709368
136;immune_system;immune system;2212;enzyme source;0.5
137;GZMB;GZMB;414;gene:protein;0.6635375842073169
138;LAG3;LAG3;991;gene:protein;0.6594662966060603
139;B-lymphocyte;B-lymphocyte;9593;enzyme source;0.3501311505217797
140;actomyosin_contractile_ring;actomyosin contractile ring;15941;cellular component;0.5
141;antigen_processing_and_presentation;antigen processing and presentation;512;biological process;0.5031830872380952
142;lymph;lymph;2962;enzyme source;0.5
143;antigen_binding;antigen binding;3860;molecular function;0.4843402642375604
144;cyclic_nucleotide-gated_mechanosensitive_ion_channel_activity;cyclic nucleotide-gated mechanosensitive ion channel activity;14662;molecular function;0.5
145;developmental_process;developmental process;14553;biological process;0.5075695923432404
146;FOXP3;FOXP3;3181;gene:protein;0.6354554412811977
147;CRBN;CRBN;3618;gene:protein;0.6377381278111588
148;UFM1_ligase_activity;UFM1 ligase activity;3087;molecular function;0.5
149;IRF4;IRF4;3034;gene:protein;0.6640862421702128
150;JAK1;JAK1;1149;gene:protein;0.6681040647142856
151;JAK2;JAK2;3827;gene:protein;0.638120007056856
152;SPATA2;SPATA2;8342;gene:protein;0.57965610710145
153;CTLA4;CTLA4;3555;gene:protein;0.6160462521003959
154;Prostaglandin E2;Prostaglandin E2;44;other;0.5305510886206897
155;PGE2;PGE2;1321;other;0.5242911965417867
156;indole_2_3-dioxygenase_activity;indole 2 3-dioxygenase activity;981;molecular function;0.5
157;Filgrastim;Filgrastim;9739;drug;0.5040141776951673
158;T_cell_activation;T cell activation;1134;biological process;0.5079304295874588
159;CHI3L2;CHI3L2;2;gene:protein;0.5
160;plant-type_hypersensitive_response;plant-type hypersensitive response;17869;biological process;0.5786999492506208
161;DENND2D;DENND2D;1;gene:protein;0.6054765
162;CHIAP2;CHIAP2;1;gene;0.5
163;EPM2A;EPM2A;703;gene:protein;0.5
164;RNA-directed_DNA_polymerase_activity;RNA-directed DNA polymerase activity;4952;molecular function;0.3336422680074192
165;CD19;CD19;8495;gene:protein;0.5729317380188669
166;prednisone;prednisone;1853;drug;0.5
167;fludarabine;fludarabine;977;drug;0.500114836881029
168;cytotoxic_T-lymphocyte;cytotoxic T-lymphocyte;2083;enzyme source;0.5066789029720854
169;T_cell_migration;T cell migration;49;biological process;0.5038909733333334
170;leukocyte;leukocyte;1301;enzyme source;0.5043118916786224
171;lymphocyte;lymphocyte;120;enzyme source;0.1240461727254901
172;Bendamustine;Bendamustine;819;drug;0.5299265111797751
173;bone_marrow;bone marrow;31495;enzyme source;0.2000000000000287
174;marrow;marrow;27398;enzyme source;0.5
175;neuron_spine;neuron spine;952;cellular component;0.5
176;TNFSF8;TNFSF8;16;gene:protein;0.631445314
177;L-alanine:2-oxoglutarate_aminotransferase_activity;L-alanine:2-oxoglutarate aminotransferase activity;1885;molecular function;0.5467551786923079
178;TNFSF4;TNFSF4;99;gene:protein;0.6521449416666667
179;TNFRSF8;TNFRSF8;23;gene:protein;0.5834164872727273
180;SLC17A5;SLC17A5;3816;gene:protein;0.530280797653584
181;Chloroform;Chloroform;171;drug;0.5
182;HLA-DQB1;HLA-DQB1;6;gene:protein;0.6122844833333333
183;venous_blood;venous blood;186;enzyme source;0.5
184;endopeptidase_activity;endopeptidase activity;276;molecular function;0.5003367006060606
185;digestion;digestion;804;biological process;0.25
186;Huntington_s_disease;Huntington s disease;1714;disease;0.5028068370937501
187;Iron;Iron;9037;drug;0.2081507834853411
188;Hepcidin;Hepcidin;2381;enzyme;0.5
189;SLC40A1;SLC40A1;162;gene:protein;0.624078778
190;transient_myeloproliferative_syndrome;transient myeloproliferative syndrome;1864;disease;0.5
191;erythrocyte;erythrocyte;2728;enzyme source;0.4056174991304346
192;VEGFA;VEGFA;11812;gene:protein;0.6193567619916823
193;SETD2;SETD2;7574;gene:protein;0.5952263143432832
194;TNF;TNF;17196;gene:protein;0.6117087004529715
195;folate;folate;624;other;0.5060402494610778
196;PON1;PON1;884;gene:protein;0.5287196375862068
197;NCOA5;NCOA5;368;gene:protein;0.5735528848979592
198;TFRC;TFRC;847;gene:protein;0.6340808775590554
199;interleukin-1_receptor_binding;interleukin-1 receptor binding;6110;molecular function;0.5000332005577689
200;hemopoiesis;hemopoiesis;632;biological process;0.4955679792222223
201;IL6;IL6;22819;gene:protein;0.6055660044531538
202;liver;liver;14040;enzyme source;0.3333333400000055
203;EPOR;EPOR;484;gene:protein;0.5788227155882353
204;CSF2RB;CSF2RB;16;gene:protein;0.6230163471428571
205;pyruvate_dehydrogenase_(acetyl-transferring)_activity;pyruvate dehydrogenase (acetyl-transferring) activity;176;molecular function;0.5
206;Tocilizumab;Tocilizumab;1029;drug;0.5254200984888888
207;BMP6;BMP6;437;gene:protein;0.625041353
208;breast;breast;30530;enzyme source;0.5
209;EPO;EPO;1791;gene:protein;0.5772549194350283
210;tooth;tooth;751;anatomical entity:enzyme source;0.1999999999999995
211;alveolar_bone;alveolar bone;137;enzyme source;0.5
212;bone_remodeling;bone remodeling;346;biological process;0.5
213;mammary_Paget_s_disease;mammary Paget s disease;82;disease;0.5
214;osteoporosis;osteoporosis;2021;disease;0.1428571499999988
215;molaris;molaris;567;enzyme source;0.5
216;bone_resorption;bone resorption;1510;biological process;0.5
217;periodontal_ligament;periodontal ligament;131;enzyme source;0.5
218;milk;milk;1638;enzyme source;0.5
219;CD63;CD63;388;gene:protein;0.6387723328666672
220;jejunum;jejunum;47;enzyme source;0.5
221;BMI1;BMI1;3231;gene:protein;0.6248180307638886
222;LGR5;LGR5;743;gene:protein;0.6021097372972972
223;villus;villus;22;enzyme source;0.5
224;CLDN3;CLDN3;56;gene:protein;0.6149345583333333
225;intestinal_stem_cell;intestinal stem cell;18;enzyme source;0.5
226;stem_cell_proliferation;stem cell proliferation;76;biological process;0.2773177418367347
227;crypt;crypt;267;enzyme source;0.5
228;body;body;6663;anatomical entity;0.199999999999992
229;CD81;CD81;568;gene:protein;0.6438958945054946
230;OCLN;OCLN;157;gene:protein;0.6311523731249999
231;ileum;ileum;95;enzyme source;0.5
232;MICA;MICA;2684;gene:protein;0.6519424881304351
233;CLPP;CLPP;8;gene:protein;0.609748075
234;CD82;CD82;1494;gene:protein;0.3914418982335325
235;monoclonal_gammopathy_of_uncertain_significance;monoclonal gammopathy of uncertain significance;2825;disease;0.5238457446793348
236;DUOXA1;DUOXA1;5900;gene:protein;0.5179227192864752
237;PRRC2A;PRRC2A;2847;gene:protein;0.199780867710362
238;BAG6;BAG6;452;gene:protein;0.6569091234868423
239;pilus;pilus;66;cellular component;0.5044166384210527
240;pathogenesis;pathogenesis;1929;biological process;0.5008995166615854
241;biofilm;biofilm;467;enzyme source;0.5
242;kidney_disease;kidney disease;921;disease;0.5215575727857141
243;lymphoplasmacytic_lymphoma;lymphoplasmacytic lymphoma;76;disease;0.5
244;ALB;ALB;4350;gene:protein;0.6156567265118639
